Rank,Player,Team,Salary
388,Raul Neto\netora01,UTA,1471382
389,Pat Connaughton\connapa01,POR,1471382
390,Richaun Holmes\holmeri01,PHI,1471382
391,Josh Huestis\huestjo01,OKC,1471382
392,Jordan Mickey\mickejo01,MIA,1471382
393,Montrezl Harrell\harremo01,LAC,1471382
394,Joe Young\youngjo01,IND,1471382
395,Kevon Looney\looneke01,GSW,1471382
396,Nikola Jokic\jokicni01,DEN,1471382
397,Salah Mejri\mejrisa01,DAL,1471382
398,Caleb Swanigan\swanica01,POR,1465920
399,Furkan Korkmaz\korkmfu01,PHI,1465920
400,Willy Hernangomez\hernawi01,CHO,1435750
401,Kyle Kuzma\kuzmaky01,LAL,1423560
402,Tony Bradley\bradlto01,UTA,1414920
403,Derrick White\whitede01,SAS,1404600
404,Josh Hart\hartjo01,LAL,1394520
405,Timothe Luwawu-Cabarrot\luwawti01,PHI,1386600
406,Kevin Martin\martike02,MIN,1360305
407,Brice Johnson\johnsbr02,MEM,1331160
408,Pascal Siakam\siakapa01,TOR,1312611
409,Dejounte Murray\murrade01,SAS,1312611
410,Skal Labissiere\labissk01,SAC,1312611
411,A.J. Hammons\hammoaj01,MIA,1312611
412,Deyonta Davis\davisde01,MEM,1312611
413,Chinanu Onuaku\onuakch01,HOU,1312611
414,Damian Jones\jonesda03,GSW,1312611
415,Wayne Selden\seldewa01,MEM,1312611
416,Cheick Diallo\diallch01,NOP,1312611
417,Joel Bolomboy\bolomjo01,UTA,1312611
418,Bryn Forbes\forbebr01,SAS,1312611
419,Davis Bertans\bertada01,SAS,1312611
420,Jake Layman\laymaja01,POR,1312611
421,Tyler Ulis\ulisty01,PHO,1312611
422,Marcus Georges-Hunt\georgma01,MIN,1312611
423,Malcolm Brogdon\brogdma01,MIL,1312611
424,Rodney McGruder\mcgruro01,MIA,1312611
425,Andrew Harrison\harrian01,MEM,1312611
426,Ivica Zubac\zubaciv01,LAL,1312611
427,Patrick McCaw\mccawpa01,GSW,1312611
428,Dorian Finney-Smith\finnedo01,DAL,1312611
429,Yogi Ferrell\ferreyo01,DAL,1312611
430,Treveon Graham\grahatr01,CHO,1312611
431,David Nwaba\nwabada01,CHI,1312611
432,Paul Zipser\zipsepa01,CHI,1312611
433,Isaiah Whitehead\whiteis01,BRK,1312611
434,Okaro White\whiteok01,ATL,1312611
435,Nicolas Brussino\brussni01,ATL,1312611
436,Diamond Stone\stonedi01,ATL,1312611
437,Sheldon Mac\mcclesh01,ATL,1312611
438,Isaiah Taylor\taylois01,ATL,1312611
439,Kay Felder\feldeka01,CHI,1312611
440,Fred VanVleet\vanvlfr01,TOR,1312611
441,Derrick Jones\jonesde02,PHO,1312611
442,Chasson Randle\randlch01,NYK,1312611
443,Stephen Zimmerman\zimmest01,LAL,1312611
444,Semi Ojeleye\ojelese01,BOS,1291892
445,Frank Mason\masonfr01,SAC,1184385
446,Abdel Nader\naderab01,BOS,1167333
447,Damyean Dotson\dotsoda01,NYK,1100000
448,Paul Pierce\piercpa01,LAC,1096080
